phrase,abbr,count
reactive oxygen species,ROS,669
nitric oxide,NO,626
Alzheimers disease,AD,558
central nervous system,CNS,520
endoplasmic reticulum,ER,457
magnetic resonance imaging,MRI,408
magnetic resonance imaging,fMRI,311
Parkinsons disease,PD,280
vascular endothelial growth factor,VEGF,279
multiple sclerosis,MS,248
endothelial cells,EC,246
protein kinase C,PKC,243
dendritic cells,DC,232
T cell receptor,TCR,230
single nucleotide polymorphisms,SNPs,216
positron emission tomography,PET,204
G protein coupled receptors,GPCRs,194
cystic fibrosis,CF,184
heart failure,HF,177
dendritic cells,DCs,172
traumatic brain injury,TBI,166
amyotrophic lateral sclerosis,ALS,165
systemic lupus erythematosus,SLE,164
hepatitis C virus,HCV,160
smooth muscle cells,SMC,158
natural killer,NK,154
blood brain barrier,BBB,151
bone marrow,BM,150
coronary heart disease,CHD,149
androgen receptor,AR,148
G protein coupled receptor,GPCR,147
rheumatoid arthritis,RA,143
epidermal growth factor receptor,EGFR,143
double strand breaks,DSBs,143
Toll like receptors,TLRs,143
wild type,WT,141
mitogen activated protein kinase,MAPK,138
acute myeloid leukemia,AML,138
genome wide association studies,GWAS,136
Toll like receptor,TLR,134
blood pressure,BP,133
tumor necrosis factor,TNF,132
myocardial infarction,MI,131
human immunodeficiency virus,HIV,129
vascular smooth muscle cells,VSMC,128
coronary artery disease,CAD,128
Epstein Barr virus,EBV,128
sarcoplasmic reticulum,SR,127
protein kinase A,PKA,126
endothelial cell,EC,126
estrogen receptor,ER,125
embryonic stem,ES,125
inflammatory bowel disease,IBD,122
endothelial cells,ECs,122
long term potentiation,LTP,121
brain derived neurotrophic factor,BDNF,121
nuclear magnetic resonance,NMR,118
spinal cord injury,SCI,116
green fluorescent protein,GFP,116
unfolded protein response,UPR,115
experimental autoimmune encephalomyelitis,EAE,114
diffusion tensor imaging,DTI,113
chronic kidney disease,CKD,112
ventral tegmental area,VTA,111
non small cell lung cancer,NSCLC,110
retinoic acid,RA,107
major depressive disorder,MDD,105
major histocompatibility complex,MHC,103
chronic obstructive pulmonary disease,COPD,101
Huntingtons disease,HD,100
renin angiotensin system,RAS,98
target of rapamycin,mTOR,97
autism spectrum disorders,ASD,97
antigen presenting cells,APCs,97
prostate cancer,PCa,96
antigen presenting cells,APC,96
epidermal growth factor,EGF,95
retinal pigment epithelium,RPE,93
amyloid precursor protein,APP,93
homologous recombination,HR,92
cytotoxic T lymphocytes,CTL,92
double strand break,DSB,91
left ventricular,LV,90
hematopoietic stem cells,HSC,90
hematopoietic stem cells,HSCs,88
fluorescence resonance energy transfer,FRET,86
single nucleotide polymorphism,SNP,85
nitric oxide synthase,eNOS,85
magnetic resonance,MR,85
randomized controlled trial,RCT,84
herpes simplex virus,HSV,84
nitric oxide synthase,NOS,83
gonadotropin releasing hormone,GnRH,83
congestive heart failure,CHF,83
acute lung injury,ALI,83
smooth muscle cell,SMC,81
quantitative trait loci,QTL,81
low density lipoprotein,LDL,80
hematopoietic stem cell,HSC,80
graft versus host disease,GVHD,80
mass spectrometry,MS,79
Multiple myeloma,MM,78
mesenchymal stem cells,MSCs,77
retinitis pigmentosa,RP,76
end stage renal disease,ESRD,76
body mass index,BMI,76
optical coherence tomography,OCT,75
nucleus accumbens,NAc,75
mild cognitive impairment,MCI,75
magnetic resonance spectroscopy,MRS,75
hypothalamic pituitary adrenal,HPA,74
base excision repair,BER,74
nitric oxide synthase,iNOS,73
nerve growth factor,NGF,73
adeno associated virus,AAV,73
transcription factors,TFs,72
bone mineral density,BMD,72
N methyl D aspartate,NMDA,72
retinal ganglion cells,RGCs,71
ionizing radiation,IR,71
epithelial mesenchymal transition,EMT,71
retinal ganglion cell,RGC,70
hepatitis B virus,HBV,70
cerebral blood flow,CBF,70
focal adhesion kinase,FAK,69
fibroblast growth factor,FGF,69
bone morphogenetic proteins,BMPs,69
dendritic cell,DC,68
arachidonic acid,AA,68
computed tomography,CT,67
Attention Deficit Hyperactivity Disorder,ADHD,67
Atrial fibrillation,AF,67
nucleotide excision repair,NER,66
electron paramagnetic resonance,EPR,66
autism spectrum disorder,ASD,66
glucocorticoid receptor,GR,65
reverse transcriptase,RT,64
post traumatic stress disorder,PTSD,64
acute lymphoblastic leukemia,ALL,64
Kaposis sarcoma,KS,64
receptor tyrosine kinases,RTKs,63
smooth muscle cells,SMCs,62
growth hormone,GH,62
acute respiratory distress syndrome,ARDS,62
acute kidney injury,AKI,62
African American,AA,62
vascular smooth muscle cell,VSMC,61
progesterone receptor,PR,61
cognitive behavioral therapy,CBT,61
obstructive sleep apnea,OSA,60
receptor tyrosine kinase,RTK,58
high throughput screening,HTS,58
genome wide association study,GWAS,58
corticotropin releasing factor,CRF,58
squamous cell carcinoma,SCC,57
hypoxia inducible factor,HIF,57
vascular smooth muscle cells,VSMCs,55
non alcoholic fatty liver disease,NAFLD,54
bone marrow transplantation,BMT,54
transforming growth factor,TGF,53
quantitative trait locus,QTL,53
hepatocyte growth factor,HGF,53
chronic lymphocytic leukemia,CLL,53
bone morphogenetic protein,BMP,53
Toll like receptors,TLR,53
vascular smooth muscle,VSM,52
idiopathic pulmonary fibrosis,IPF,52
cytotoxic T lymphocyte,CTL,52
plasma membrane,PM,51
luteinizing hormone,LH,51
high density lipoprotein,HDL,51
germinal center,GC,51
programmed cell death,PCD,50
long term depression,LTD,50
DNA damage response,DDR,50
C reactive protein,CRP,50
trans Golgi network,TGN,49
non homologous end joining,NHEJ,49
autosomal dominant polycystic kidney disease,ADPKD,49
B cell receptor,BCR,49
C terminal domain,CTD,48
vitamin D receptor,VDR,47
sickle cell disease,SCD,47
emergency department,ED,47
diabetes mellitus,DM,47
Respiratory syncytial virus,RSV,47
Chronic kidney disease,CKD,47
quality of life,QOL,46
platelet derived growth factor,PDGF,46
chronic myelogenous leukemia,CML,46
Polycomb group,PcG,46
Inflammatory bowel disease,IBD,46
neural stem cells,NSCs,45
electron microscopy,EM,45
Fanconi anemia,FA,45
structure activity relationship,SAR,44
physical activity,PA,44
airway smooth muscle,ASM,44
Fragile X syndrome,FXS,44
Down syndrome,DS,44
loss of heterozygosity,LOH,43
brown adipose tissue,BAT,43
linkage disequilibrium,LD,42
dorsal root ganglion,DRG,42
Tuberous Sclerosis Complex,TSC,42
trabecular meshwork,TM,41
renal cell carcinoma,RCC,41
pluripotent stem cells,iPSCs,41
next generation sequencing,NGS,41
endothelial progenitor cells,EPCs,41
Pulmonary arterial hypertension,PAH,41
vesicular stomatitis virus,VSV,40
tyrosine hydroxylase,TH,40
treatment as usual,TAU,40
transient receptor potential,TRP,40
tight junction,TJ,40
pluripotent stem,iPS,40
mitogen activated protein,MAP,40
fatty acid,FA,40
anterior cruciate ligament,ACL,40
white matter,WM,39
sexually transmitted infections,STIs,39
insulin receptor,IR,39
dorsal root ganglia,DRG,39
Alzheimer disease,AD,39
pulmonary hypertension,PH,38
planar cell polarity,PCP,38
diabetic retinopathy,DR,38
Duchenne muscular dystrophy,DMD,38
transcranial magnetic stimulation,TMS,37
specific aims,SA,37
randomized clinical trial,RCT,37
peripheral arterial disease,PAD,37
particulate matter,PM,37
mitogen activated protein kinases,MAPKs,37
insulin dependent diabetes mellitus,IDDM,37
genome wide association,GWA,37
free fatty acids,FFA,37
GTPase activating protein,GAP,37
very low density lipoprotein,VLDL,36
ulcerative colitis,UC,36
ubiquitin proteasome system,UPS,36
sympathetic nervous system,SNS,36
sudden infant death syndrome,SIDS,36
single photon emission computed tomography,SPECT,36
quantitative trait loci,QTLs,36
prostate specific antigen,PSA,36
mesenchymal stem cells,MSC,36
injection drug users,IDUs,36
high fat diet,HFD,36
helix loop helix,bHLH,36
glutamate receptors,mGluRs,36
diffuse large B cell lymphoma,DLBCL,36
deep brain stimulation,DBS,36
substance P,SP,35
plasminogen activator,tPA,35
high density lipoproteins,HDL,35
excitation contraction,EC,35
cyclin dependent kinases,CDKs,35
congenital heart disease,CHD,35
Otitis media,OM,35
Nurses Health Study,NHS,35
Motivational Interviewing,MI,35
protein tyrosine phosphatases,PTPs,34
protein tyrosine kinases,PTKs,34
primary open angle glaucoma,POAG,34
post translational modifications,PTMs,34
plasminogen activator,uPA,34
irritable bowel syndrome,IBS,34
embryonic stem cells,ESCs,34
contingency management,CM,34
tissue factor,TF,33
substance use disorders,SUD,33
red blood cell,RBC,33
molecular dynamics,MD,33
inflammatory bowel diseases,IBD,33
breast cancer,BC,33
angiotensin converting enzyme,ACE,33
Specific Aim,SA,33
ventricular fibrillation,VF,32
serum response factor,SRF,32
platelet activating factor,PAF,32
peroxisome proliferator activated receptor,PPAR,32
pattern recognition receptors,PRRs,32
non insulin dependent diabetes mellitus,NIDDM,32
follicle stimulating hormone,FSH,32
embryonic stem cells,hESCs,32
ecological momentary assessment,EMA,32
corticotropin releasing hormone,CRH,32
Vascular Endothelial Growth Factor,VEGF,32
Spinal muscular atrophy,SMA,32
temporal lobe epilepsy,TLE,31
ryanodine receptor,RyR,31
phosphatidic acid,PA,31
locus control region,LCR,31
immediate early,IE,31
event related potentials,ERPs,31
benign prostatic hyperplasia,BPH,31
GTPase activating proteins,GAPs,31
Chinese hamster ovary,CHO,31
superior colliculus,SC,30
status epilepticus,SE,30
pleckstrin homology,PH,30
nucleus tractus solitarius,NTS,30
non Hodgkins lymphoma,NHL,30
lymph nodes,LN,30
lateral geniculate nucleus,LGN,30
insulin resistance,IR,30
enteric nervous system,ENS,30
calcitonin gene related peptide,CGRP,30
atomic force microscopy,AFM,30
anterior cingulate cortex,ACC,30
adeno associated virus,rAAV,30
TATA binding protein,TBP,30
Parkinson disease,PD,30
Origin Recognition Complex,ORC,30
HIV associated neurocognitive disorders,HAND,30
ATP binding cassette,ABC,30
transcription factor,TF,29
stem cell factor,SCF,29
optic nerve head,ONH,29
alcoholic liver disease,ALD,29
adenylyl cyclase,AC,29
HIV associated dementia,HAD,29
Crohns disease,CD,29
red blood cells,RBCs,28
polymerase chain reaction,PCR,28
polycyclic aromatic hydrocarbons,PAHs,28
locus coeruleus,LC,28
fluorescence in situ hybridization,FISH,28
double strand breaks,DSB,28
cancer stem cells,CSCs,28
caloric restriction,CR,28
blood oxygenation level dependent,BOLD,28
acute myocardial infarction,AMI,28
activated protein C,APC,28
Major Depressive Disorder,MDD,28
tyrosine kinase inhibitors,TKIs,27
thyroid hormone,TH,27
sleep disordered breathing,SDB,27
sexually transmitted infection,STI,27
knock out,KO,27
ischemia reperfusion injury,IRI,27
hematopoietic cell transplantation,HCT,27
frontal eye field,FEF,27
experimental allergic encephalomyelitis,EAE,27
cytotoxic T lymphocytes,CTLs,27
class switch recombination,CSR,27
chronic myeloid leukemia,CML,27
cerebral palsy,CP,27
acute myelogenous leukemia,AML,27
retinoic acid receptor,RAR,26
peripheral nervous system,PNS,26
outer membrane,OM,26
olfactory receptor neurons,ORNs,26
myosin light chain kinase,MLCK,26
mouse hepatitis virus,MHV,26
mitogen activated protein kinases,MAPK,26
ischemia reperfusion,I/R,26
heparan sulfate,HS,26
event related potential,ERP,26
diabetic nephropathy,DN,26
collagen induced arthritis,CIA,26
bipolar disorder,BD,26
atrial natriuretic peptide,ANP,26
aryl hydrocarbon receptor,AHR,26
alveolar macrophage,AM,26
alcohol use disorders,AUDs,26
alcohol use disorders,AUD,26
adrenergic receptor,AR,26
adenomatous polyposis coli,APC,26
Emergency Department,ED,26
white adipose tissue,WAT,25
surface plasmon resonance,SPR,25
sudden cardiac death,SCD,25
structure activity relationships,SAR,25
simian immunodeficiency virus,SIV,25
prostatic intraepithelial neoplasia,PIN,25
post translational modification,PTM,25
polycyclic aromatic hydrocarbons,PAH,25
olfactory sensory neurons,OSNs,25
olfactory bulb,OB,25
obsessive compulsive disorder,OCD,25
non steroidal anti inflammatory drugs,NSAIDs,25
non obese diabetic,NOD,25
human leukocyte antigen,HLA,25
heme oxygenase,HO,25
health related quality of life,HRQOL,25
glomerular basement membrane,GBM,25
fetal alcohol syndrome,FAS,25
fatty acid synthase,FAS,25
ductal carcinoma in situ,DCIS,25
cyclic nucleotide gated,CNG,25
connective tissue growth factor,CTGF,25
castration resistant prostate cancer,CRPC,25
blood oxygen level dependent,BOLD,25
bacterial artificial chromosome,BAC,25
Institute of Medicine,IOM,25
Atherosclerosis Risk in Communities,ARIC,25
virus like particles,VLPs,24
renin angiotensin aldosterone system,RAAS,24
reactive nitrogen species,RNS,24
radiation therapy,RT,24
protein tyrosine phosphatase,PTP,24
myeloid derived suppressor cells,MDSCs,24
myelin basic protein,MBP,24
ligand binding domain,LBD,24
inferior colliculus,IC,24
hematopoietic stem cell transplantation,HSCT,24
borderline personality disorder,BPD,24
anaphase promoting complex,APC,24
Varicella zoster virus,VZV,24
United States,US,24
CREB binding protein,CBP,24
usual care,UC,23
signal recognition particle,SRP,23
proliferating cell nuclear antigen,PCNA,23
primary effusion lymphoma,PEL,23
mu opioid receptor,MOR,23
methicillin resistant Staphylococcus aureus,MRSA,23
left ventricle,LV,23
intimate partner violence,IPV,23
hyaluronic acid,HA,23
hormone replacement therapy,HRT,23
diet induced obesity,DIO,23
cognitive behavior therapy,CBT,23
cell adhesion molecules,CAMs,23
anorexia nervosa,AN,23
acute renal failure,ARF,23
Squamous cell carcinoma,SCC,23
Progressive Multifocal Leukoencephalopathy,PML,23
Fas ligand,FasL,23
working memory,WM,22
reverse cholesterol transport,RCT,22
polycystic kidney disease,PKD,22
panic disorder,PD,22
nuclear pore complex,NPC,22
